epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.829,1.56456,2.68632,1.1325,0.23415,0.18823,0.17227,0.09049,1.43003,1.18589,1.06088,0.0264806,4.37005e-05,4.37005e-05
2,422.481,1.45147,1.28273,1.08402,0.41769,0.29897,0.31136,0.17512,1.37978,0.95752,1.03286,0.0133141,7.31049e-05,7.31049e-05
3,628.545,1.41109,1.10007,1.05727,0.60558,0.35794,0.38182,0.21407,1.35389,0.89242,1.01563,0.000133076,8.80386e-05,8.80386e-05
4,834.218,1.39037,1.02722,1.04159,0.62081,0.37395,0.40153,0.22659,1.33799,0.85981,1.00641,6.6433e-05,6.6433e-05,6.6433e-05
5,1039.77,1.37825,0.99442,1.03358,0.63179,0.37989,0.41226,0.23283,1.33067,0.84498,1.00301,4.47272e-05,4.47272e-05,4.47272e-05
6,1245,1.3665,0.97048,1.02881,0.62963,0.38074,0.41566,0.23589,1.32662,0.83747,1.0003,2.30214e-05,2.30214e-05,2.30214e-05
