epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.194,1.48922,1.44678,1.05946,0.57798,0.34121,0.35028,0.19643,1.34661,0.87218,0.98222,0.0125241,3.98551e-05,3.98551e-05
2,298.63,1.41227,0.96635,1.02705,0.61744,0.35865,0.38843,0.21833,1.31638,0.83527,0.97495,0.00632514,6.67332e-05,6.67332e-05
3,444.7,1.38798,0.91952,1.0172,0.63463,0.38042,0.41634,0.2339,1.30264,0.80061,0.98101,0.000112986,8.03899e-05,8.03899e-05
4,590.712,1.37295,0.8938,1.01396,0.63947,0.39051,0.42417,0.2359,1.29603,0.7775,0.97733,6.06983e-05,6.06983e-05,6.06983e-05
5,737.093,1.35039,0.86096,1.00317,0.65967,0.40664,0.43946,0.2469,1.27472,0.75753,0.96452,4.08662e-05,4.08662e-05,4.08662e-05
6,883.21,1.33598,0.83864,0.99608,0.65918,0.41721,0.45063,0.25361,1.26531,0.73743,0.96395,2.10341e-05,2.10341e-05,2.10341e-05
