epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.183,1.32343,0.82992,1.04384,0.67431,0.4403,0.47875,0.25969,1.32052,0.77747,1.03718,0.000772872,0.000772872,0.000772872
2,387.998,1.30902,0.8008,1.0365,0.67612,0.46724,0.49725,0.27392,1.29257,0.74368,1.03198,0.000677229,0.000677229,0.000677229
3,580.131,1.29323,0.77327,1.02515,0.69059,0.47961,0.52093,0.29154,1.28146,0.72308,1.02227,0.000581586,0.000581586,0.000581586
4,772.702,1.27827,0.75309,1.0192,0.70219,0.48423,0.52952,0.29622,1.27689,0.71658,1.01818,0.000485943,0.000485943,0.000485943
5,964.705,1.264,0.73538,1.01059,0.61667,0.49541,0.54246,0.30606,1.26144,0.6978,1.00666,0.0003903,0.0003903,0.0003903
6,1156.79,1.24991,0.71659,1.00369,0.70874,0.5024,0.54416,0.31017,1.25436,0.68659,1.00293,0.000294657,0.000294657,0.000294657
7,1348.95,1.23393,0.69501,0.99745,0.62864,0.5042,0.55813,0.31725,1.25028,0.67574,1.00189,0.000199014,0.000199014,0.000199014
8,1541.04,1.22204,0.6775,0.9914,0.62514,0.51327,0.5606,0.31968,1.24355,0.66648,1.00098,0.000103372,0.000103372,0.000103372
