epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.849,1.49477,1.26188,1.08172,0.53811,0.32208,0.3289,0.17767,1.45405,1.08366,1.04669,0.0579757,3.36138e-05,3.36138e-05
2,422.282,1.4264,0.98073,1.05408,0.60342,0.37107,0.39278,0.21812,1.36797,0.9119,1.02117,0.0290766,5.62311e-05,5.62311e-05
3,629.966,1.40134,0.93184,1.04278,0.55101,0.41216,0.44999,0.25182,1.32327,0.81784,0.99956,0.000166427,6.77179e-05,6.77179e-05
4,837.63,1.38242,0.89853,1.03397,0.6558,0.42779,0.46614,0.25977,1.30809,0.792,0.99484,5.10992e-05,5.10992e-05,5.10992e-05
5,1044.9,1.36165,0.86495,1.02112,0.70456,0.43052,0.48327,0.27177,1.29615,0.7727,0.98714,3.44035e-05,3.44035e-05,3.44035e-05
6,1251.77,1.35054,0.84267,1.01721,0.68551,0.44819,0.49889,0.28195,1.29018,0.75362,0.98364,1.77077e-05,1.77077e-05,1.77077e-05
