epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.545,1.44982,1.20292,1.06426,0.60777,0.36025,0.38712,0.21155,1.36119,0.91522,1.01418,0.0370346,6.07521e-05,6.07521e-05
2,418.681,1.39499,0.9409,1.04118,0.64645,0.40166,0.4286,0.23493,1.34529,0.85971,1.01303,0.000227391,0.00010163,0.00010163
3,626.414,1.3703,0.89788,1.03189,0.55846,0.4195,0.45598,0.24831,1.33142,0.80739,1.00645,8.16865e-05,8.16865e-05,8.16865e-05
4,833.261,1.35104,0.86154,1.02132,0.67424,0.43932,0.4777,0.26258,1.31314,0.78544,0.99761,6.15697e-05,6.15697e-05,6.15697e-05
5,1040.78,1.33124,0.83557,1.01385,0.5983,0.445,0.48928,0.27426,1.29289,0.75852,0.99151,4.14529e-05,4.14529e-05,4.14529e-05
6,1247.05,1.31369,0.80802,1.00541,0.71237,0.44765,0.50015,0.28136,1.28365,0.74233,0.98614,2.1336e-05,2.1336e-05,2.1336e-05
