epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.52,1.46147,1.21894,1.07191,0.59246,0.3587,0.37565,0.19916,1.39657,0.9561,1.03323,0.0277509,0.000154193,0.000154193
2,419.355,1.44019,0.99126,1.06522,0.60045,0.36851,0.38913,0.2062,1.40205,0.92293,1.04939,0.0140798,0.000257943,0.000257943
3,627.038,1.43269,0.97002,1.06218,0.60093,0.37396,0.38606,0.20536,1.39287,0.90224,1.03988,0.000357648,0.000310635,0.000310635
4,834.098,1.41187,0.93895,1.05517,0.64556,0.40499,0.43692,0.23559,1.3571,0.83336,1.01939,0.000234402,0.000234402,0.000234402
5,1040.83,1.37506,0.88676,1.03723,0.67006,0.42848,0.46644,0.25703,1.32513,0.79381,1.01086,0.000157815,0.000157815,0.000157815
6,1247.23,1.34384,0.84158,1.02243,0.67116,0.44173,0.48209,0.26946,1.30076,0.76651,0.99705,8.12285e-05,8.12285e-05,8.12285e-05
