epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.523,1.22339,0.67516,0.99764,0.63473,0.52463,0.57378,0.33157,1.23115,0.64353,0.98624,0.00681729,0.000417467,0.000417467
2,384.364,1.20854,0.66581,0.98663,0.63794,0.52097,0.57443,0.33167,1.23033,0.64476,0.98515,0.00393916,0.000733041,0.000733041
3,574.653,1.20095,0.65738,0.98166,0.65799,0.5261,0.57352,0.33091,1.23402,0.64997,0.98612,0.000957314,0.000944887,0.000944887
4,764.745,1.20486,0.66021,0.98081,0.63518,0.518,0.57173,0.32882,1.23697,0.652,0.98705,0.000790524,0.000790524,0.000790524
5,955.023,1.1996,0.65607,0.97796,0.63029,0.54289,0.5732,0.32885,1.23715,0.65194,0.98784,0.000634934,0.000634934,0.000634934
6,1145.23,1.19548,0.65234,0.97849,0.64008,0.53651,0.5727,0.32887,1.23761,0.65059,0.98842,0.000479344,0.000479344,0.000479344
7,1335.25,1.19371,0.65099,0.97827,0.62776,0.54072,0.57083,0.32811,1.23712,0.65124,0.989,0.000323753,0.000323753,0.000323753
8,1525.54,1.19221,0.64755,0.97753,0.62938,0.5416,0.57231,0.32933,1.23679,0.64951,0.98909,0.000168163,0.000168163,0.000168163
