epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.196,1.18079,0.63421,0.97228,0.63026,0.5212,0.5668,0.32516,1.24032,0.65762,0.99107,0.00157877,9.62335e-05,9.62335e-05
2,383.793,1.18771,0.6468,0.97557,0.63252,0.51297,0.56064,0.31916,1.24922,0.66903,0.99764,0.000911688,0.000168979,0.000168979
3,574.204,1.19618,0.65838,0.97823,0.62376,0.49923,0.54971,0.3122,1.25658,0.67969,1.0018,0.000220692,0.000217813,0.000217813
4,764.438,1.1975,0.66331,0.98007,0.63141,0.51367,0.56028,0.31752,1.25133,0.67335,0.99788,0.00018223,0.00018223,0.00018223
5,954.627,1.1936,0.65606,0.97955,0.62702,0.51075,0.55562,0.31626,1.25248,0.67127,1.00013,0.000146363,0.000146363,0.000146363
6,1144.09,1.18043,0.64148,0.97166,0.61781,0.51457,0.55888,0.31864,1.24846,0.66599,0.99793,0.000110497,0.000110497,0.000110497
7,1333.59,1.17354,0.63067,0.96924,0.62121,0.53806,0.56316,0.32072,1.25001,0.66348,0.99742,7.46308e-05,7.46308e-05,7.46308e-05
8,1523.18,1.16477,0.61906,0.96375,0.63613,0.52382,0.56803,0.32456,1.24824,0.65948,0.99652,3.87645e-05,3.87645e-05,3.87645e-05
