epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.145,1.21775,0.67471,0.99868,0.60677,0.54121,0.5726,0.33119,1.23205,0.64289,0.98727,0.00157316,0.00011682,0.00011682
2,387.135,1.20919,0.66592,0.98788,0.62866,0.529,0.57449,0.3318,1.23021,0.64353,0.98455,0.000210771,0.000205126,0.000205126
3,577.898,1.20063,0.65791,0.98264,0.63808,0.52535,0.57474,0.33196,1.23107,0.64404,0.98471,0.0001765,0.0001765,0.0001765
4,768.664,1.20391,0.6605,0.98229,0.63558,0.526,0.57524,0.33153,1.23195,0.64482,0.98525,0.000147475,0.000147475,0.000147475
5,959.137,1.20101,0.65884,0.98134,0.63665,0.52365,0.57503,0.3318,1.23202,0.64518,0.98498,0.000118449,0.000118449,0.000118449
6,1149.96,1.20056,0.65728,0.98161,0.63658,0.52441,0.57444,0.33112,1.23252,0.6448,0.98474,8.9423e-05,8.9423e-05,8.9423e-05
7,1340.71,1.2001,0.65881,0.98193,0.63915,0.52358,0.5756,0.33184,1.23158,0.64415,0.98476,6.03972e-05,6.03972e-05,6.03972e-05
8,1531.57,1.19462,0.65195,0.97945,0.63874,0.52377,0.57514,0.33175,1.23234,0.64415,0.98528,3.13713e-05,3.13713e-05,3.13713e-05
