epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.737,1.22549,0.67872,1.00025,0.60551,0.54109,0.57317,0.33127,1.23047,0.64489,0.98539,0.000294708,0.000194585,0.000194585
2,384.979,1.21345,0.66802,0.98836,0.62317,0.53109,0.57414,0.33147,1.23052,0.64485,0.98467,0.000171171,0.000171171,0.000171171
3,576.111,1.20804,0.66264,0.98489,0.62976,0.52768,0.57418,0.33144,1.23073,0.64533,0.98463,0.000146997,0.000146997,0.000146997
4,766.933,1.21125,0.66613,0.98596,0.63553,0.52391,0.57429,0.3312,1.23176,0.64528,0.98482,0.000122823,0.000122823,0.000122823
5,957.675,1.2088,0.66328,0.98421,0.63235,0.52528,0.57373,0.3312,1.23157,0.64559,0.98505,9.86493e-05,9.86493e-05,9.86493e-05
6,1148.27,1.20903,0.66253,0.98446,0.63687,0.52185,0.57388,0.33135,1.2322,0.64504,0.98543,7.44753e-05,7.44753e-05,7.44753e-05
7,1338.28,1.20772,0.66191,0.98593,0.63625,0.52225,0.57359,0.33081,1.23291,0.64594,0.98595,5.03014e-05,5.03014e-05,5.03014e-05
8,1529.02,1.20619,0.65993,0.98226,0.63718,0.523,0.57449,0.33157,1.23149,0.64504,0.9851,2.61274e-05,2.61274e-05,2.61274e-05
