epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.825,1.19539,0.66778,0.96575,0.60124,0.50781,0.53946,0.30737,1.2022,0.64282,0.96069,0.0423952,4.47835e-05,4.47835e-05
2,305.305,1.18033,0.65599,0.96125,0.64459,0.5027,0.54554,0.30983,1.20363,0.63651,0.96409,0.0213156,7.87139e-05,7.87139e-05
3,449.984,1.17478,0.64636,0.95805,0.6388,0.49973,0.54051,0.30838,1.20398,0.6375,0.96733,0.000224966,0.000101495,0.000101495
4,594.474,1.17731,0.64694,0.95828,0.62167,0.5241,0.54657,0.31033,1.19974,0.63768,0.96475,8.49698e-05,8.49698e-05,8.49698e-05
5,738.877,1.16844,0.64011,0.95539,0.64687,0.51003,0.54502,0.31051,1.20134,0.63308,0.96539,6.82461e-05,6.82461e-05,6.82461e-05
6,889.3,1.16497,0.63437,0.95489,0.63175,0.50729,0.5427,0.30914,1.20124,0.63409,0.96645,5.15224e-05,5.15224e-05,5.15224e-05
7,1033,1.16128,0.62929,0.95433,0.62917,0.51401,0.54551,0.31008,1.20286,0.63274,0.967,3.47988e-05,3.47988e-05,3.47988e-05
8,1183,1.16002,0.62714,0.9519,0.64438,0.50469,0.54656,0.31053,1.20103,0.63045,0.96541,1.80751e-05,1.80751e-05,1.80751e-05
