epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.533,1.20945,0.66301,0.99311,0.6473,0.53086,0.57173,0.32997,1.23414,0.64363,0.98958,3.48821e-05,3.43227e-05,3.43227e-05
2,385.425,1.20794,0.66136,0.99114,0.62072,0.54755,0.57317,0.3313,1.232,0.64269,0.98706,6.05483e-05,6.0268e-05,6.0268e-05
3,575.797,1.19553,0.65133,0.98347,0.61262,0.5402,0.57478,0.33232,1.23056,0.64184,0.98538,7.76863e-05,7.76853e-05,7.76853e-05
4,766.369,1.19919,0.65521,0.98218,0.62925,0.5306,0.57537,0.33205,1.23036,0.64224,0.98517,6.49941e-05,6.49941e-05,6.49941e-05
5,956.922,1.19767,0.65088,0.98122,0.63756,0.5249,0.57441,0.33188,1.2304,0.64218,0.98504,5.2202e-05,5.2202e-05,5.2202e-05
6,1147.25,1.1923,0.64829,0.97825,0.63588,0.52584,0.57551,0.3323,1.23038,0.64244,0.98462,3.94099e-05,3.94099e-05,3.94099e-05
7,1337.68,1.19864,0.65293,0.98204,0.63339,0.52722,0.57425,0.33186,1.2309,0.64276,0.98493,2.66179e-05,2.66179e-05,2.66179e-05
8,1528,1.19564,0.65107,0.98049,0.63498,0.52711,0.57523,0.33218,1.23058,0.64234,0.9847,1.38258e-05,1.38258e-05,1.38258e-05
