epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.155,1.2193,0.68185,0.99143,0.62662,0.51959,0.56825,0.32718,1.23814,0.65435,0.98733,0.00864541,4.53133e-05,4.53133e-05
2,388.256,1.21771,0.67587,0.9875,0.62603,0.51884,0.563,0.32249,1.24267,0.65946,0.98949,0.00438797,7.95666e-05,7.95666e-05
3,580.241,1.21248,0.67468,0.98662,0.62636,0.5179,0.56601,0.32455,1.24473,0.66075,0.99353,0.00011926,0.000102561,0.000102561
4,771.941,1.21475,0.67521,0.98797,0.62702,0.52041,0.5643,0.32241,1.24385,0.66518,0.99481,8.5806e-05,8.5806e-05,8.5806e-05
5,963.581,1.20473,0.66553,0.98167,0.63923,0.54203,0.56752,0.32424,1.243,0.65995,0.9932,6.89178e-05,6.89178e-05,6.89178e-05
6,1155.19,1.20414,0.66164,0.98328,0.63408,0.53435,0.56669,0.32365,1.24183,0.65941,0.99348,5.20295e-05,5.20295e-05,5.20295e-05
7,1346.66,1.19865,0.6564,0.98139,0.64737,0.5267,0.56936,0.32594,1.24131,0.65562,0.99273,3.51412e-05,3.51412e-05,3.51412e-05
8,1538.17,1.19271,0.64828,0.97913,0.63857,0.52826,0.56996,0.32648,1.24295,0.65476,0.99432,1.8253e-05,1.8253e-05,1.8253e-05
