epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.758,1.20184,0.65276,0.9871,0.62524,0.53065,0.57463,0.33147,1.23119,0.64402,0.9854,0.000273946,0.000236709,0.000236709
2,399.689,1.19686,0.65249,0.98006,0.63454,0.52336,0.57403,0.33037,1.23175,0.6465,0.98498,0.000208227,0.000208227,0.000208227
3,588.961,1.17777,0.63585,0.97109,0.64743,0.52916,0.57359,0.33064,1.23373,0.64727,0.98395,0.000178819,0.000178819,0.000178819
4,777.876,1.18452,0.64014,0.97289,0.63364,0.52585,0.57412,0.33021,1.2341,0.64739,0.98536,0.000149412,0.000149412,0.000149412
5,967.628,1.18281,0.63788,0.97197,0.64412,0.53275,0.57426,0.33083,1.23471,0.64689,0.98595,0.000120005,0.000120005,0.000120005
6,1157.37,1.17909,0.63449,0.97109,0.63592,0.52302,0.57419,0.33052,1.23527,0.64713,0.98685,9.05979e-05,9.05979e-05,9.05979e-05
7,1346.49,1.17589,0.63214,0.96974,0.63852,0.52358,0.57446,0.33087,1.23377,0.64574,0.98589,6.11907e-05,6.11907e-05,6.11907e-05
8,1535.59,1.17558,0.63109,0.97033,0.63824,0.5225,0.57323,0.33004,1.23417,0.64565,0.98628,3.17835e-05,3.17835e-05,3.17835e-05
