epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.701,1.18774,0.65579,0.97059,0.61083,0.53105,0.55349,0.31738,1.18675,0.61783,0.95823,0.00100094,0.00012898,0.00012898
2,288.817,1.18396,0.64936,0.96616,0.59342,0.52493,0.55347,0.3173,1.18785,0.61855,0.95775,0.000231771,0.000226702,0.000226702
3,431.107,1.17651,0.63967,0.95966,0.62154,0.50528,0.55357,0.31727,1.18843,0.61851,0.95754,0.000195256,0.000195256,0.000195256
4,573.522,1.17604,0.64011,0.95878,0.61913,0.51951,0.55234,0.31685,1.18879,0.61945,0.95787,0.000163146,0.000163146,0.000163146
5,715.891,1.17159,0.63673,0.95777,0.61762,0.5202,0.55223,0.31677,1.18892,0.61895,0.95792,0.000131036,0.000131036,0.000131036
6,858.269,1.17054,0.63321,0.95656,0.61518,0.52572,0.55323,0.31711,1.18919,0.619,0.95797,9.89255e-05,9.89255e-05,9.89255e-05
7,1000.45,1.17942,0.64022,0.95949,0.61056,0.52401,0.55311,0.31693,1.18954,0.61942,0.95782,6.68152e-05,6.68152e-05,6.68152e-05
8,1143.17,1.17543,0.63853,0.95929,0.6069,0.52347,0.553,0.31723,1.1893,0.61923,0.95794,3.4705e-05,3.4705e-05,3.4705e-05
