epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.438,1.47572,1.23476,1.07571,0.59064,0.36055,0.37604,0.20321,1.39369,0.97474,1.03759,0.0361829,7.91558e-05,7.91558e-05
2,417.778,1.42627,0.96829,1.0561,0.61768,0.37951,0.40922,0.22327,1.37665,0.87789,1.03857,0.018215,0.000132417,0.000132417
3,624.027,1.41542,0.94419,1.05206,0.63614,0.39518,0.42375,0.23022,1.3591,0.84926,1.02127,0.000220972,0.000159466,0.000159466
4,830.32,1.39695,0.91239,1.04294,0.66247,0.41174,0.45129,0.24793,1.33819,0.82029,1.01168,0.000120332,0.000120332,0.000120332
5,1036.53,1.37016,0.87011,1.03075,0.69058,0.42527,0.47026,0.26022,1.31328,0.79017,1.00314,8.10154e-05,8.10154e-05,8.10154e-05
6,1242.57,1.3446,0.83458,1.01798,0.69264,0.44965,0.49351,0.27583,1.29978,0.75912,0.98875,4.16991e-05,4.16991e-05,4.16991e-05
