epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.2,1.19528,0.65541,0.97982,0.62132,0.52181,0.56157,0.3197,1.24846,0.663,0.99568,0.000231401,0.00014949,0.00014949
2,389.39,1.20473,0.66594,0.98265,0.62992,0.51516,0.56133,0.31795,1.2476,0.66724,0.99616,0.000131502,0.000131502,0.000131502
3,581.413,1.19713,0.65968,0.98004,0.60616,0.53978,0.56169,0.3194,1.24858,0.6678,0.99357,0.000112931,0.000112931,0.000112931
4,773.071,1.19313,0.65201,0.97689,0.63375,0.5108,0.56101,0.31891,1.24646,0.66493,0.99308,9.4359e-05,9.4359e-05,9.4359e-05
5,965.082,1.18566,0.64195,0.9726,0.61053,0.54205,0.56247,0.31984,1.24581,0.66299,0.99182,7.57873e-05,7.57873e-05,7.57873e-05
6,1157.32,1.17898,0.63459,0.96995,0.64727,0.5227,0.56601,0.32392,1.2471,0.65982,0.99335,5.72157e-05,5.72157e-05,5.72157e-05
7,1349.77,1.17409,0.62983,0.96895,0.61209,0.53546,0.56673,0.3248,1.24581,0.6563,0.99326,3.8644e-05,3.8644e-05,3.8644e-05
8,1541.62,1.16618,0.62148,0.96632,0.64548,0.5223,0.5672,0.32448,1.24635,0.65545,0.99282,2.00724e-05,2.00724e-05,2.00724e-05
