epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.586,1.48666,1.24376,1.08371,0.57172,0.33209,0.34951,0.19107,1.3973,0.96946,1.03876,0.0410276,9.40166e-05,9.40166e-05
2,419.621,1.44347,0.99723,1.06698,0.60911,0.37958,0.39749,0.2135,1.386,0.90964,1.02602,0.020659,0.000157277,0.000157277
3,628.276,1.43531,0.97127,1.06379,0.51538,0.39186,0.41386,0.22377,1.35924,0.87171,1.02853,0.000259138,0.000189405,0.000189405
4,835.858,1.41818,0.93828,1.05484,0.63406,0.40674,0.44469,0.24293,1.35661,0.82645,1.0186,0.000142923,0.000142923,0.000142923
5,1043.8,1.38324,0.89143,1.0395,0.67017,0.42891,0.46946,0.25805,1.31465,0.79251,1.001,9.62253e-05,9.62253e-05,9.62253e-05
6,1251.66,1.35611,0.8524,1.02562,0.57727,0.44858,0.48559,0.27161,1.30028,0.76372,0.99135,4.95278e-05,4.95278e-05,4.95278e-05
