epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.317,1.22916,0.6848,1.00071,0.63209,0.52714,0.57456,0.33191,1.23113,0.64595,0.9844,0.00162683,0.000226082,0.000226082
2,387.169,1.21605,0.67488,0.98896,0.62937,0.52514,0.57413,0.33162,1.23204,0.64507,0.98427,0.00109872,0.000396983,0.000396983
3,577.694,1.20915,0.66704,0.98563,0.63403,0.52416,0.57355,0.33043,1.23308,0.64773,0.98501,0.00051443,0.00051171,0.00051171
4,768.417,1.21403,0.66898,0.98646,0.62885,0.54517,0.57461,0.33067,1.23366,0.64775,0.98482,0.000428113,0.000428113,0.000428113
5,958.864,1.20758,0.6643,0.98371,0.64081,0.52037,0.57316,0.33029,1.23377,0.6472,0.98528,0.000343853,0.000343853,0.000343853
6,1149.71,1.20901,0.66339,0.98271,0.6388,0.52415,0.57427,0.33061,1.23321,0.64677,0.98518,0.000259592,0.000259592,0.000259592
7,1340.15,1.20864,0.66494,0.98425,0.63897,0.52264,0.57445,0.3304,1.2337,0.6466,0.98565,0.000175331,0.000175331,0.000175331
8,1530.94,1.20117,0.65978,0.98232,0.61226,0.53727,0.57411,0.33086,1.23364,0.64617,0.986,9.10699e-05,9.10699e-05,9.10699e-05
