epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.643,1.19524,0.66935,0.97297,0.59532,0.52495,0.55536,0.31812,1.18688,0.61787,0.95683,0.000391606,0.00034688,0.00034688
2,294.652,1.18823,0.65681,0.96538,0.62129,0.50714,0.55364,0.31701,1.18859,0.61952,0.95716,0.000305741,0.000305741,0.000305741
3,438.73,1.18535,0.65472,0.96344,0.62191,0.50609,0.55235,0.31641,1.18925,0.61922,0.95767,0.000262563,0.000262563,0.000262563
4,582.676,1.17654,0.64782,0.96111,0.62334,0.50379,0.55199,0.3169,1.18976,0.61976,0.95786,0.000219384,0.000219384,0.000219384
5,726.7,1.1775,0.64959,0.95962,0.63818,0.51458,0.55311,0.31721,1.18955,0.61997,0.95755,0.000176205,0.000176205,0.000176205
6,870.636,1.17651,0.64775,0.96138,0.6382,0.51528,0.55257,0.31659,1.19047,0.61999,0.95798,0.000133026,0.000133026,0.000133026
7,1014.52,1.18314,0.65083,0.96258,0.63643,0.51533,0.55286,0.31661,1.19077,0.61995,0.95773,8.9847e-05,8.9847e-05,8.9847e-05
8,1164.32,1.1769,0.64729,0.96047,0.63567,0.51448,0.55297,0.31723,1.19051,0.62012,0.9576,4.66681e-05,4.66681e-05,4.66681e-05
