epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.703,1.17167,0.61378,0.96896,0.65204,0.53069,0.57432,0.33194,1.23213,0.64175,0.9877,0.000234522,0.000160831,0.000160831
2,388.833,1.16673,0.60956,0.96499,0.65336,0.53149,0.57656,0.33365,1.23051,0.64176,0.98614,0.000141479,0.000141479,0.000141479
3,577.45,1.15957,0.60414,0.9619,0.62291,0.5515,0.57578,0.33257,1.23119,0.64204,0.98545,0.000121498,0.000121498,0.000121498
4,765.697,1.15825,0.60419,0.96031,0.62665,0.54997,0.57565,0.33189,1.23131,0.64258,0.98592,0.000101518,0.000101518,0.000101518
5,954.067,1.1578,0.60307,0.95937,0.60243,0.54554,0.57496,0.33193,1.23215,0.64267,0.98613,8.15371e-05,8.15371e-05,8.15371e-05
6,1142.39,1.15672,0.60263,0.9594,0.6235,0.5499,0.57571,0.33197,1.23238,0.64253,0.98637,6.15565e-05,6.15565e-05,6.15565e-05
7,1330.83,1.15652,0.60057,0.96175,0.60448,0.5429,0.57429,0.33163,1.23229,0.64237,0.98646,4.15759e-05,4.15759e-05,4.15759e-05
8,1519.47,1.15287,0.6007,0.9581,0.60696,0.5428,0.57554,0.33194,1.23237,0.64224,0.98642,2.15952e-05,2.15952e-05,2.15952e-05
