epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.352,1.23226,0.67642,1.00198,0.6456,0.52665,0.56868,0.3287,1.23622,0.64672,0.9911,0.00594412,3.49555e-05,3.49555e-05
2,384.827,1.22452,0.6719,0.99934,0.64413,0.52876,0.5705,0.32997,1.2333,0.6454,0.98822,0.0030217,6.13792e-05,6.13792e-05
3,575.119,1.21978,0.66589,0.9929,0.62211,0.53065,0.57289,0.3315,1.23061,0.64408,0.98549,9.05917e-05,7.91176e-05,7.91176e-05
4,765.133,1.21211,0.66123,0.98735,0.62567,0.52879,0.57324,0.3312,1.23089,0.64507,0.98532,6.61925e-05,6.61925e-05,6.61925e-05
5,954.968,1.21355,0.66128,0.98527,0.62827,0.52635,0.57433,0.33189,1.23058,0.64452,0.98492,5.31645e-05,5.31645e-05,5.31645e-05
6,1145.62,1.20718,0.65842,0.98417,0.62938,0.52548,0.57408,0.33123,1.23119,0.64442,0.98495,4.01366e-05,4.01366e-05,4.01366e-05
7,1335.71,1.21162,0.65977,0.98614,0.62809,0.52683,0.57418,0.33134,1.23091,0.64458,0.98478,2.71086e-05,2.71086e-05,2.71086e-05
8,1525.8,1.20856,0.65612,0.98289,0.62888,0.52633,0.57411,0.33146,1.23093,0.64468,0.98486,1.40807e-05,1.40807e-05,1.40807e-05
