epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.465,1.12999,0.58932,0.93957,0.64338,0.50969,0.55386,0.31776,1.1876,0.61662,0.95809,0.0002597,0.0002597,0.0002597
2,287.989,1.12743,0.58489,0.93701,0.64869,0.50667,0.55378,0.31728,1.18909,0.6184,0.95898,0.000227562,0.000227562,0.000227562
3,429.234,1.12796,0.58498,0.93701,0.64839,0.50831,0.55347,0.31732,1.19019,0.61889,0.95961,0.000195424,0.000195424,0.000195424
4,570.599,1.12723,0.58535,0.93659,0.64272,0.5126,0.55296,0.31638,1.19077,0.61914,0.95984,0.000163286,0.000163286,0.000163286
5,711.949,1.12484,0.58207,0.93513,0.6444,0.50905,0.55313,0.31667,1.19159,0.61947,0.96033,0.000131148,0.000131148,0.000131148
6,853.614,1.12405,0.58262,0.93574,0.63733,0.51224,0.5526,0.31607,1.19233,0.61969,0.96047,9.90105e-05,9.90105e-05,9.90105e-05
7,994.87,1.12483,0.58187,0.93614,0.6428,0.50904,0.5535,0.3173,1.19208,0.61953,0.96036,6.68727e-05,6.68727e-05,6.68727e-05
8,1136.4,1.1222,0.58167,0.93492,0.6436,0.50742,0.55331,0.3172,1.19208,0.61974,0.96046,3.47348e-05,3.47348e-05,3.47348e-05
