epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.027,1.65907,1.55576,1.19467,0.44865,0.29444,0.2558,0.12671,1.48388,1.00652,1.11054,0.000541828,0.000541828,0.000541828
2,321.872,1.50404,1.0647,1.10236,0.51652,0.32859,0.31637,0.16307,1.39825,0.90428,1.04812,0.000452427,0.000452427,0.000452427
3,468.917,1.4524,0.99145,1.07387,0.54631,0.34688,0.34214,0.18022,1.36218,0.86086,1.03781,0.000363025,0.000363025,0.000363025
4,616.685,1.42178,0.94656,1.05812,0.58067,0.369,0.3765,0.19789,1.33495,0.83315,1.01962,0.000273623,0.000273623,0.000273623
5,762.695,1.39664,0.91215,1.04529,0.60734,0.37826,0.39838,0.21465,1.30793,0.78614,1.00666,0.000184222,0.000184222,0.000184222
6,908.823,1.36306,0.87361,1.02941,0.63051,0.38823,0.41953,0.22868,1.28925,0.76012,0.99777,9.48199e-05,9.48199e-05,9.48199e-05
