epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.639,1.1595,0.63083,0.95837,0.62434,0.52466,0.55492,0.31915,1.18519,0.61535,0.95807,0.00385325,3.61995e-05,3.61995e-05
2,290.644,1.1585,0.63035,0.95749,0.62486,0.52361,0.55529,0.31905,1.18567,0.61534,0.9578,0.00197772,6.36261e-05,6.36261e-05
3,432.353,1.15271,0.62007,0.95256,0.61792,0.52733,0.5559,0.31946,1.1862,0.61559,0.9573,9.31692e-05,8.20408e-05,8.20408e-05
4,574.4,1.15586,0.62238,0.95181,0.62295,0.52533,0.55466,0.31856,1.18712,0.61647,0.95754,6.86829e-05,6.86829e-05,6.86829e-05
5,716.853,1.15424,0.62077,0.95124,0.62385,0.52543,0.55455,0.31849,1.18745,0.61642,0.9577,5.51648e-05,5.51648e-05,5.51648e-05
6,858.575,1.15277,0.61912,0.95085,0.62403,0.52514,0.5549,0.31847,1.18779,0.61662,0.9577,4.16467e-05,4.16467e-05,4.16467e-05
7,1000.65,1.153,0.61777,0.95062,0.61921,0.52858,0.55456,0.3183,1.18806,0.61697,0.95768,2.81286e-05,2.81286e-05,2.81286e-05
8,1142.71,1.15289,0.6184,0.94965,0.61512,0.53143,0.55455,0.3185,1.18796,0.617,0.95756,1.46105e-05,1.46105e-05,1.46105e-05
