epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.608,1.46934,1.30041,1.05445,0.57492,0.3198,0.33813,0.18479,1.37641,0.91375,1.00851,0.0384547,0.000103122,0.000103122
2,298.076,1.41344,0.95671,1.03292,0.58617,0.35165,0.37126,0.20019,1.35962,0.89586,1.0022,0.000372415,0.000172668,0.000172668
3,444.022,1.38781,0.91569,1.02252,0.63809,0.37421,0.40515,0.22031,1.32867,0.81787,0.99132,0.000138911,0.000138911,0.000138911
4,590.697,1.36811,0.87828,1.01255,0.65268,0.38804,0.42055,0.23206,1.30406,0.79203,0.98346,0.000104702,0.000104702,0.000104702
5,736.491,1.3383,0.839,1.00072,0.65518,0.40373,0.43996,0.24519,1.28367,0.76424,0.97744,7.04923e-05,7.04923e-05,7.04923e-05
6,882.006,1.32115,0.81532,0.99336,0.65278,0.41633,0.45102,0.25273,1.26567,0.73973,0.96926,3.62828e-05,3.62828e-05,3.62828e-05
