trial,mAP@0.5,state,duration_seconds,imgsz,optimizer,lr0,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,mosaic,mixup
35,0.5770742349894156,COMPLETE,1706.007585,768,SGD,0.0001614596240725037,0.9098500376932075,0.00042786651935909105,1,0.5149307497845836,0.018938388657529233,0.8205379408033115,0.023789168654792303
0,0.5769275868120581,COMPLETE,1696.134481,768,SGD,0.00018408992080552527,0.856970033460184,0.0005399484409787432,2,0.8186326600082204,0.0020584494295802446,0.9849549260809971,0.16648852816008436
22,0.5766610208034043,COMPLETE,1670.149719,768,SGD,0.00014118140573302955,0.9094252069932472,0.0007309395990801345,3,0.668541094684278,0.005798927412947139,0.8913409412138384,0.12334438866565361
11,0.5765230783717186,COMPLETE,1685.660222,768,SGD,0.00019189188714851022,0.9256140152521548,0.0009223691646885691,2,0.7511661798798476,0.002410883116536491,0.9649811229108491,0.18924351393363523
34,0.5762132136970319,COMPLETE,1654.317914,768,SGD,0.00015346984180265746,0.9063315010084676,0.0009371541289392279,1,0.5483156020434448,0.02471430207500159,0.8785089288974699,0.038448048254907566
33,0.576135663258636,COMPLETE,1663.826816,768,SGD,0.00011943176232095372,0.8954532989965969,0.0009320154818982343,3,0.6675370754361432,0.011564605733975091,0.89405609249683,0.0797867932405509
10,0.5759796832336584,COMPLETE,1679.395516,768,SGD,0.00010136416726594986,0.905713019081271,0.0008532637450534103,3,0.7288507043449868,0.0017830306795590628,0.8150206227433663,0.14346732790723005
25,0.5759153249673427,COMPLETE,1670.704431,768,SGD,0.00010337029702652747,0.8565504231572861,0.000691796111224237,3,0.835109436494624,8.375508235552304e-07,0.9923623608226324,0.1299937060296653
18,0.5756351691807339,COMPLETE,1721.774909,768,SGD,0.00023763387102495472,0.9690735222899702,0.0004345143055119562,1,0.7256297179080418,0.009569797908782101,0.9425716260056852,0.11390959443328483
27,0.5756012162928592,COMPLETE,1674.213974,768,SGD,0.00023455204646398111,0.912563232474453,0.00042559110435000353,2,0.7527886964045045,0.0029013894269801677,0.9767352096136815,0.16339193297033638
30,0.5753678696594505,COMPLETE,1673.201399,768,SGD,0.00019534509666258856,0.9241466731188749,0.0005430031346760696,1,0.6393878894768946,0.025731624575078944,0.8278923239363011,0.182709152923983
31,0.575203871877037,COMPLETE,1670.51118,768,SGD,0.00010527627499202455,0.888593460387621,0.0008005425935994206,3,0.6702643747902545,0.008846528541806498,0.6997552011797397,0.15181187495601245
19,0.5750657616897434,COMPLETE,1669.767069,768,SGD,0.0012572946482373871,0.9391522790357703,0.0006312790852644021,3,0.612849991148544,0.009581091430440513,0.924997185059828,0.1613009507739077
12,0.5750243795647425,COMPLETE,1680.219276,768,SGD,0.0006707573965261709,0.8788032145046235,0.00018608446967536654,2,0.9076339798561361,0.030481286712759365,0.9241083394569172,0.12474316618456899
26,0.5748535655590452,COMPLETE,1679.177546,768,SGD,0.000680896077927012,0.8749899221652856,0.0007859094519095029,3,0.9379847839584119,0.0020970375937223724,0.9086387107056219,0.1946641233828872
20,0.5747262839096262,COMPLETE,1673.789671,768,SGD,0.00019409774408113843,0.8566173352757066,0.0002337269531669197,1,0.7222631373010865,0.01672355973911266,0.9748539724246373,0.19898880565440097
2,0.572175535486724,COMPLETE,1676.428265,768,AdamW,0.00019485671251272575,0.8578061911582335,0.000790261954970823,3,0.8637788066524075,0.03046137691733707,0.5488360570031919,0.1368466053024314
14,0.5720682538193854,COMPLETE,1691.928859,768,Adam,0.0003648765624453425,0.9521414385679057,0.0005733433450715179,2,0.6289642269316154,0.03694056393169325,0.8441440983974132,0.19859216786494333
21,0.5714628221402573,COMPLETE,1671.106513,768,Adam,0.0001170177690808451,0.9209918879986447,0.00015481959953941008,3,0.6994537517049798,0.011034875129972614,0.7454902561777089,0.11814716804007039
32,0.568762414083914,COMPLETE,1682.84031,768,Adam,0.000136470817178904,0.8970109062903935,0.0007795392208456435,3,0.636594500298316,0.012875103273384508,0.8940697783805857,0.19171669528746693
24,0.5672992926314723,COMPLETE,1665.77446,768,AdamW,0.00028982832586057925,0.9011224088902193,0.0008570020016218264,3,0.6375973065667252,0.0022194926894142787,0.9078188400390483,0.07238307109429609
28,0.5670742114487848,COMPLETE,1678.683575,768,AdamW,0.0001816950319371306,0.8618101733544855,0.00018619454328701798,2,0.8596224633670249,0.02471331817804086,0.8527374391318845,0.14369498961035593
15,0.566847971190009,COMPLETE,1684.231056,768,Adam,0.0001500738887151613,0.8596635892864232,0.0004373273933564993,1,0.7248156517196116,0.021051136598623794,0.9188109532508847,0.1037890785120699
36,0.5667181528282965,COMPLETE,1668.765852,768,AdamW,0.00022248867701096445,0.8946024438028313,0.0003067897167436233,0,0.5365910374069301,0.03524001773688575,0.7553264786879148,0.04791713874009272
9,0.5649708908023445,COMPLETE,1678.784544,768,AdamW,0.00034695916603302916,0.8632062309433212,2.8567374298471872e-05,1,0.8681066446651219,0.08607305832563435,0.5034760652655954,0.10214946051551316
