trial_number,status,map50,map50_95,precision,recall,error_type,hp_imgsz,hp_batch,hp_optimizer,hp_lr0,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_mosaic,hp_mixup,hp_epochs,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
35,completed,0.5770742349894156,0.3345939492200785,0.6530257748585123,0.5322087775118107,,768,64,SGD,0.0001614596240725037,0.9098500376932075,0.00042786651935909105,1,0.5149307497845836,0.018938388657529233,0.8205379408033115,0.023789168654792303,8,cuda,True,20,True,True,False,8,10,True,True
0,completed,0.5769275868120581,0.33349696365515114,0.6389696634561249,0.5258976308432004,,768,64,SGD,0.00018408992080552527,0.856970033460184,0.0005399484409787432,2,0.8186326600082204,0.0020584494295802446,0.9849549260809971,0.16648852816008436,8,cuda,True,20,True,True,False,8,10,True,False
22,completed,0.5766610208034043,0.33355669299839336,0.6311707599010761,0.5286010591183042,,768,64,SGD,0.00014118140573302955,0.9094252069932472,0.0007309395990801345,3,0.668541094684278,0.005798927412947139,0.8913409412138384,0.12334438866565361,8,cuda,True,20,True,True,False,8,10,True,False
11,completed,0.5765230783717186,0.3332422486343839,0.6299214043959352,0.529521450093976,,768,64,SGD,0.00019189188714851022,0.9256140152521548,0.0009223691646885691,2,0.7511661798798476,0.002410883116536491,0.9649811229108491,0.18924351393363523,8,cuda,True,20,True,True,False,8,10,True,False
34,completed,0.5762132136970319,0.3337842185201124,0.6329204218465991,0.5419864903602631,,768,64,SGD,0.00015346984180265746,0.9063315010084676,0.0009371541289392279,1,0.5483156020434448,0.02471430207500159,0.8785089288974699,0.038448048254907566,8,cuda,True,20,True,True,False,8,10,True,False
33,completed,0.576135663258636,0.33390748474650533,0.6067089217787517,0.5458086711948321,,768,64,SGD,0.00011943176232095372,0.8954532989965969,0.0009320154818982343,3,0.6675370754361432,0.011564605733975091,0.89405609249683,0.0797867932405509,8,cuda,True,20,True,True,False,8,10,True,False
10,completed,0.5759796832336584,0.3331027289557154,0.6291090546711492,0.5297119186407367,,768,64,SGD,0.00010136416726594986,0.905713019081271,0.0008532637450534103,3,0.7288507043449868,0.0017830306795590628,0.8150206227433663,0.14346732790723005,8,cuda,True,20,True,True,False,8,10,True,False
25,completed,0.5759153249673427,0.33339409843579043,0.6142378404938775,0.5407221099394148,,768,64,SGD,0.00010337029702652747,0.8565504231572861,0.000691796111224237,3,0.835109436494624,8.375508235552304e-07,0.9923623608226324,0.1299937060296653,8,cuda,True,20,True,True,False,8,10,True,False
18,completed,0.5756351691807339,0.33276647679822735,0.6265905434815442,0.5309485255286513,,768,64,SGD,0.00023763387102495472,0.9690735222899702,0.0004345143055119562,1,0.7256297179080418,0.009569797908782101,0.9425716260056852,0.11390959443328483,8,cuda,True,20,True,True,False,8,10,True,False
27,completed,0.5756012162928592,0.33283743588211023,0.6383138036205696,0.5260678717036914,,768,64,SGD,0.00023455204646398111,0.912563232474453,0.00042559110435000353,2,0.7527886964045045,0.0029013894269801677,0.9767352096136815,0.16339193297033638,8,cuda,True,20,True,True,False,8,10,True,False
30,completed,0.5753678696594505,0.33253009399120076,0.6374058253928654,0.5241953225995701,,768,64,SGD,0.00019534509666258856,0.9241466731188749,0.0005430031346760696,1,0.6393878894768946,0.025731624575078944,0.8278923239363011,0.182709152923983,8,cuda,True,20,True,True,False,8,10,True,False
