epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.529,1.47828,1.37608,1.06393,0.60536,0.34996,0.37201,0.20329,1.35494,0.87015,1.00271,0.009428,0.000136883,0.000136883
2,299.104,1.41991,0.97386,1.03807,0.47622,0.37,0.37595,0.20295,1.34539,0.87113,0.99703,0.000277587,0.000229196,0.000229196
3,446.169,1.4009,0.93966,1.03006,0.62485,0.37856,0.40027,0.21805,1.32198,0.81573,0.99181,0.000184389,0.000184389,0.000184389
4,593.196,1.37606,0.89968,1.01978,0.6359,0.39318,0.42085,0.2314,1.30844,0.78834,0.9855,0.00013898,0.00013898,0.00013898
5,740.004,1.35303,0.86717,1.00893,0.65185,0.40847,0.43983,0.24452,1.28732,0.75891,0.97554,9.35704e-05,9.35704e-05,9.35704e-05
6,887.205,1.33144,0.83425,1.00016,0.57132,0.41341,0.45495,0.25389,1.26643,0.73233,0.9674,4.81612e-05,4.81612e-05,4.81612e-05
