epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.784,1.46904,1.24032,1.07276,0.58843,0.35791,0.38046,0.20848,1.36882,0.94019,1.02104,0.0287136,5.60028e-05,5.60028e-05
2,420.508,1.40883,0.95742,1.04709,0.61752,0.39781,0.42197,0.2311,1.34888,0.85384,1.01218,0.00019116,9.36848e-05,9.36848e-05
3,627.836,1.38243,0.909,1.03548,0.57205,0.41962,0.46293,0.25673,1.32248,0.80229,1.00206,7.53007e-05,7.53007e-05,7.53007e-05
4,835.248,1.36569,0.87492,1.02814,0.66718,0.438,0.47039,0.26299,1.31291,0.79043,0.99856,5.67565e-05,5.67565e-05,5.67565e-05
5,1042.02,1.34385,0.84841,1.01822,0.69761,0.4377,0.48686,0.27446,1.28838,0.76451,0.98899,3.82123e-05,3.82123e-05,3.82123e-05
6,1248.86,1.32819,0.82281,1.01106,0.58657,0.45517,0.49571,0.28007,1.28666,0.74762,0.98278,1.96681e-05,1.96681e-05,1.96681e-05
