epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.085,1.58185,2.2799,1.15073,0.38423,0.28454,0.28067,0.15851,1.38382,1.0006,1.03704,0.00112447,9.17308e-05,9.17308e-05
2,443.653,1.44992,1.16741,1.0826,0.60338,0.36708,0.38495,0.21643,1.34599,0.87787,1.01004,0.000156965,0.000153453,0.000153453
3,650.634,1.41553,1.05691,1.05852,0.63023,0.38218,0.41173,0.23271,1.32918,0.83851,0.99919,0.00012334,0.00012334,0.00012334
4,857.731,1.40286,1.01489,1.0487,0.63608,0.39187,0.42424,0.23992,1.32249,0.82283,0.9974,9.29654e-05,9.29654e-05,9.29654e-05
5,1064.12,1.39445,0.99074,1.04497,0.64149,0.39252,0.43087,0.24331,1.31672,0.81479,0.99628,6.25906e-05,6.25906e-05,6.25906e-05
6,1271.08,1.38933,0.97882,1.04203,0.63779,0.3983,0.43427,0.2456,1.31622,0.81076,0.99551,3.22157e-05,3.22157e-05,3.22157e-05
