epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.365,1.49584,1.2462,1.08529,0.57885,0.35001,0.36524,0.19728,1.40875,0.94433,1.02912,0.0328517,0.000128625,0.000128625
2,420.152,1.46084,1.01263,1.07733,0.60689,0.37638,0.39847,0.20894,1.3857,0.92659,1.03634,0.000326475,0.000215172,0.000215172
3,626.908,1.43732,0.97014,1.06323,0.62546,0.39388,0.42289,0.22909,1.35063,0.84266,1.02009,0.000172948,0.000172948,0.000172948
4,834.854,1.40979,0.92747,1.04949,0.65546,0.42159,0.458,0.25156,1.33522,0.81766,1.0096,0.000130356,0.000130356,0.000130356
5,1042.01,1.38345,0.8892,1.03719,0.68032,0.43021,0.47812,0.26616,1.31323,0.77683,1.00011,8.77646e-05,8.77646e-05,8.77646e-05
6,1249.05,1.36063,0.85537,1.02667,0.68415,0.45633,0.49317,0.27822,1.29418,0.74996,0.99191,4.5173e-05,4.5173e-05,4.5173e-05
