epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.547,1.20058,0.65602,0.98058,0.63697,0.52166,0.57059,0.32832,1.23672,0.65066,0.98441,0.00740975,3.88541e-05,3.88541e-05
2,387.278,1.20058,0.65098,0.97738,0.63625,0.52782,0.56734,0.32633,1.23909,0.65459,0.99004,0.00376083,6.82249e-05,6.82249e-05
3,577.387,1.20101,0.65202,0.97852,0.643,0.51173,0.56737,0.32502,1.24105,0.6593,0.99125,0.000102254,8.79417e-05,8.79417e-05
4,767.694,1.19567,0.6494,0.97658,0.63806,0.52509,0.56872,0.32529,1.24464,0.65959,0.99043,7.35749e-05,7.35749e-05,7.35749e-05
5,957.752,1.19091,0.64385,0.97405,0.62775,0.56021,0.57045,0.32532,1.24134,0.65848,0.99011,5.9094e-05,5.9094e-05,5.9094e-05
6,1147.99,1.18311,0.63613,0.97021,0.62931,0.52128,0.56677,0.32382,1.2437,0.65733,0.99186,4.4613e-05,4.4613e-05,4.4613e-05
7,1338.15,1.18341,0.63427,0.97082,0.62045,0.53783,0.5681,0.32559,1.24248,0.65502,0.98932,3.01321e-05,3.01321e-05,3.01321e-05
8,1528.63,1.1784,0.62655,0.96939,0.61751,0.55213,0.5695,0.32658,1.24166,0.65344,0.9906,1.56511e-05,1.56511e-05,1.56511e-05
