epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.073,1.47461,1.20613,1.07649,0.57497,0.33874,0.34122,0.18304,1.43697,0.98726,1.06437,0.0490491,0.000205613,0.000205613
2,419.836,1.45019,1.00779,1.07102,0.56074,0.35776,0.35882,0.18646,1.41976,0.94661,1.06118,0.000510097,0.000343962,0.000343962
3,627.73,1.43046,0.96405,1.05965,0.60743,0.39223,0.41135,0.21889,1.37352,0.88464,1.03153,0.000276466,0.000276466,0.000276466
4,834.327,1.39297,0.91065,1.04269,0.66414,0.40654,0.4472,0.24492,1.34599,0.82052,1.01563,0.000208381,0.000208381,0.000208381
5,1041.41,1.363,0.86812,1.02834,0.64899,0.42238,0.45663,0.25267,1.32271,0.80557,1.0053,0.000140296,0.000140296,0.000140296
6,1248.57,1.33385,0.82948,1.01545,0.67788,0.44182,0.48682,0.2727,1.30083,0.76491,0.99763,7.22112e-05,7.22112e-05,7.22112e-05
