epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.473,1.496,1.25116,1.08946,0.37453,0.34252,0.30512,0.15475,1.49359,1.27659,1.09279,0.0139955,0.000397285,0.000397285
2,419.961,1.51464,1.08199,1.10547,0.51509,0.31368,0.30635,0.15419,1.5227,1.06212,1.12282,0.000710855,0.000664602,0.000664602
3,626.825,1.48658,1.03176,1.09043,0.57039,0.36027,0.36294,0.1899,1.40751,0.93991,1.05468,0.000534185,0.000534185,0.000534185
4,833.761,1.43608,0.96353,1.06643,0.61962,0.38907,0.40641,0.21748,1.36804,0.86407,1.0307,0.000402632,0.000402632,0.000402632
5,1040.07,1.39631,0.90698,1.04664,0.63829,0.41168,0.43908,0.23969,1.33959,0.8204,1.01971,0.000271079,0.000271079,0.000271079
6,1246.07,1.36433,0.86232,1.0311,0.67091,0.42894,0.47013,0.2604,1.31119,0.77537,1.00642,0.000139526,0.000139526,0.000139526
