epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.017,1.1786,0.66037,0.95593,0.55013,0.42734,0.44612,0.24218,1.26458,0.75173,0.99769,0.0494223,0.000679755,0.000679755
2,293.661,1.24796,0.75026,0.98994,0.52533,0.41669,0.43333,0.23343,1.3007,0.78007,1.01695,0.0256371,0.00119477,0.00119477
3,438.905,1.27965,0.784,1.00247,0.53026,0.40231,0.42372,0.22237,1.34228,0.81795,1.02018,0.00168267,0.00154056,0.00154056
4,582.719,1.27482,0.77591,1.00146,0.66798,0.4207,0.45783,0.24771,1.28401,0.75649,1.0022,0.00128973,0.00128973,0.00128973
5,726.5,1.24796,0.74174,0.98886,0.59403,0.43142,0.4781,0.26268,1.26421,0.7291,0.98889,0.00103589,0.00103589,0.00103589
6,870.167,1.22405,0.71211,0.97876,0.6996,0.46152,0.50331,0.27907,1.23801,0.6912,0.98553,0.000782043,0.000782043,0.000782043
7,1013.18,1.20695,0.68664,0.97329,0.70355,0.46756,0.514,0.28941,1.22801,0.66949,0.97894,0.000528199,0.000528199,0.000528199
8,1156.84,1.18249,0.65739,0.96145,0.60524,0.48162,0.5253,0.29724,1.2151,0.65494,0.97228,0.000274356,0.000274356,0.000274356
