epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.819,1.23304,0.68683,1.00498,0.60801,0.54053,0.57201,0.33066,1.23264,0.64343,0.98766,0.0013057,9.55726e-05,9.55726e-05
2,388.787,1.21842,0.67625,0.99462,0.63128,0.52526,0.57396,0.33116,1.23091,0.64527,0.98508,0.000172509,0.000167818,0.000167818
3,581.129,1.21156,0.67119,0.98712,0.63029,0.52848,0.57594,0.33249,1.23051,0.64366,0.98419,0.000144399,0.000144399,0.000144399
4,773.225,1.20919,0.6667,0.98566,0.63392,0.52413,0.57433,0.33122,1.23187,0.64495,0.98483,0.000120652,0.000120652,0.000120652
5,965.787,1.20651,0.66488,0.98488,0.63455,0.52453,0.57441,0.33138,1.23261,0.64521,0.98515,9.69054e-05,9.69054e-05,9.69054e-05
6,1157.69,1.20785,0.66611,0.98486,0.63102,0.52723,0.57435,0.3316,1.23212,0.64455,0.98515,7.31588e-05,7.31588e-05,7.31588e-05
7,1349.39,1.20772,0.66718,0.98527,0.63454,0.52656,0.57457,0.33153,1.23216,0.64439,0.98496,4.94122e-05,4.94122e-05,4.94122e-05
8,1541.31,1.20651,0.66446,0.98394,0.63529,0.52469,0.57422,0.33176,1.23218,0.64396,0.9849,2.56655e-05,2.56655e-05,2.56655e-05
