epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.91,1.12981,0.58907,0.93809,0.63989,0.51169,0.55461,0.31788,1.18773,0.61689,0.95828,0.0446838,6.37392e-05,6.37392e-05
2,288.585,1.12725,0.58623,0.9368,0.64488,0.50928,0.55393,0.31816,1.18836,0.61722,0.95881,0.00037145,0.000112031,0.000112031
3,430.014,1.12557,0.58228,0.93702,0.64088,0.51018,0.55428,0.31818,1.18879,0.61715,0.95865,9.64918e-05,9.64918e-05,9.64918e-05
4,572.022,1.12717,0.58472,0.93649,0.64462,0.50956,0.55401,0.31786,1.18865,0.61726,0.95867,8.06235e-05,8.06235e-05,8.06235e-05
5,713.449,1.12532,0.58252,0.93671,0.64756,0.5069,0.55356,0.31758,1.18905,0.61755,0.95903,6.47553e-05,6.47553e-05,6.47553e-05
6,855.073,1.12518,0.58338,0.93499,0.64837,0.50685,0.55376,0.31776,1.18983,0.61784,0.95934,4.8887e-05,4.8887e-05,4.8887e-05
7,996.78,1.12591,0.58105,0.93616,0.64151,0.5103,0.55386,0.31738,1.1897,0.61774,0.95929,3.30188e-05,3.30188e-05,3.30188e-05
8,1138.41,1.1237,0.58131,0.93594,0.64515,0.50975,0.55378,0.31741,1.18995,0.61768,0.9591,1.71505e-05,1.71505e-05,1.71505e-05
