epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.42,1.22258,0.67853,0.99994,0.60634,0.54152,0.57223,0.33101,1.23207,0.64298,0.98741,0.00112492,9.16868e-05,9.16868e-05
2,385.7,1.21148,0.66905,0.99177,0.63125,0.5286,0.57511,0.33239,1.23013,0.64268,0.98466,0.000165,0.000160995,0.000160995
3,577.15,1.20451,0.6637,0.98508,0.63749,0.52553,0.57573,0.33275,1.23018,0.64323,0.98411,0.000138528,0.000138528,0.000138528
4,768.632,1.20739,0.66364,0.98415,0.62989,0.52932,0.57562,0.33228,1.23095,0.64368,0.98459,0.000115747,0.000115747,0.000115747
5,959.791,1.20272,0.66027,0.98313,0.63461,0.52643,0.57608,0.33255,1.23007,0.64318,0.98428,9.29654e-05,9.29654e-05,9.29654e-05
6,1151.25,1.20331,0.66096,0.98341,0.63246,0.52793,0.57601,0.33244,1.23056,0.6432,0.98446,7.01843e-05,7.01843e-05,7.01843e-05
7,1342.64,1.2024,0.66164,0.98173,0.6316,0.52759,0.57549,0.33228,1.23093,0.6432,0.9845,4.74032e-05,4.74032e-05,4.74032e-05
8,1533.47,1.2013,0.65852,0.98163,0.6348,0.52512,0.57527,0.33194,1.23129,0.6437,0.9848,2.4622e-05,2.4622e-05,2.4622e-05
