epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.153,1.46007,1.2202,1.06803,0.56809,0.33204,0.34999,0.18932,1.38993,0.98487,1.02312,0.0448902,5.13058e-05,5.13058e-05
2,420.688,1.3952,0.94538,1.04122,0.63779,0.39422,0.43066,0.24003,1.33462,0.83356,1.0061,0.000238341,8.58274e-05,8.58274e-05
3,627.945,1.36962,0.89863,1.03214,0.6743,0.41003,0.45564,0.25263,1.32737,0.79786,1.00735,6.89852e-05,6.89852e-05,6.89852e-05
4,835.662,1.34999,0.8658,1.02213,0.67961,0.43401,0.47264,0.2644,1.30645,0.78125,0.99441,5.19963e-05,5.19963e-05,5.19963e-05
5,1042.58,1.3347,0.84107,1.01393,0.68589,0.44076,0.49285,0.28062,1.292,0.76121,0.98773,3.50074e-05,3.50074e-05,3.50074e-05
6,1249.81,1.31646,0.81516,1.00604,0.68662,0.44529,0.49692,0.28328,1.28784,0.7514,0.98334,1.80185e-05,1.80185e-05,1.80185e-05
