epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.208,1.2098,0.66245,0.99413,0.649,0.5277,0.57122,0.32997,1.23391,0.64399,0.98964,0.00392035,4.68774e-05,4.68774e-05
2,385.315,1.20571,0.65599,0.98886,0.64038,0.53598,0.57257,0.33131,1.23169,0.64333,0.98708,0.00202281,8.2313e-05,8.2313e-05
3,575.534,1.19772,0.65068,0.98341,0.62989,0.52661,0.57369,0.3318,1.23007,0.64302,0.98508,0.000113623,0.000106101,0.000106101
4,766.064,1.19528,0.65023,0.97962,0.63095,0.52904,0.57577,0.33212,1.23059,0.64288,0.98516,8.87678e-05,8.87678e-05,8.87678e-05
5,955.623,1.19226,0.64766,0.97834,0.63012,0.52815,0.57562,0.33262,1.23061,0.64303,0.98514,7.12966e-05,7.12966e-05,7.12966e-05
6,1146.27,1.1965,0.64933,0.97899,0.62945,0.52802,0.57519,0.33206,1.23127,0.64324,0.98526,5.38254e-05,5.38254e-05,5.38254e-05
7,1336.4,1.19409,0.6457,0.97749,0.62477,0.53089,0.57568,0.33232,1.23094,0.64347,0.98518,3.63542e-05,3.63542e-05,3.63542e-05
8,1526.72,1.19346,0.64572,0.97686,0.62741,0.52999,0.57555,0.33228,1.23086,0.6432,0.985,1.8883e-05,1.8883e-05,1.8883e-05
