epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.918,1.21133,0.67437,0.98669,0.62973,0.50691,0.54493,0.3072,1.25897,0.69047,1.00595,0.000222489,0.000222489,0.000222489
2,383.211,1.20343,0.66563,0.98298,0.72758,0.50476,0.5517,0.31298,1.25734,0.68073,1.00455,0.000194956,0.000194956,0.000194956
3,573.243,1.19833,0.65411,0.98032,0.63165,0.53468,0.55932,0.31795,1.25171,0.67386,1.00176,0.000167423,0.000167423,0.000167423
4,763.342,1.19433,0.64896,0.97819,0.6614,0.5205,0.56705,0.32102,1.25392,0.67175,1.00154,0.00013989,0.00013989,0.00013989
5,953.831,1.18405,0.63659,0.97239,0.71651,0.51896,0.5591,0.31892,1.24967,0.66542,1.00085,0.000112357,0.000112357,0.000112357
6,1144.02,1.17657,0.6267,0.9673,0.6168,0.52176,0.56053,0.31927,1.24954,0.66425,0.99793,8.48238e-05,8.48238e-05,8.48238e-05
7,1334.01,1.16794,0.61884,0.96609,0.61921,0.53267,0.564,0.32182,1.24804,0.65984,0.99626,5.72908e-05,5.72908e-05,5.72908e-05
8,1524.25,1.15993,0.60781,0.96173,0.64345,0.52205,0.56649,0.3239,1.24675,0.65585,0.99581,2.97579e-05,2.97579e-05,2.97579e-05
