epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.241,1.19271,0.64093,0.98119,0.64839,0.52839,0.57168,0.33047,1.23425,0.64354,0.98958,0.00776439,3.96557e-05,3.96557e-05
2,383.292,1.18661,0.63572,0.97863,0.6476,0.53243,0.57311,0.33198,1.23118,0.64165,0.98671,0.0039395,6.96323e-05,6.96323e-05
3,572.871,1.1835,0.63518,0.97732,0.61997,0.54762,0.57498,0.33231,1.22994,0.64185,0.98532,0.000104755,8.97558e-05,8.97558e-05
4,762.665,1.18081,0.63128,0.97184,0.60481,0.54537,0.57528,0.33292,1.2297,0.64249,0.98468,7.50927e-05,7.50927e-05,7.50927e-05
5,952.13,1.18139,0.63409,0.974,0.63066,0.53008,0.57571,0.33255,1.23008,0.64245,0.98476,6.0313e-05,6.0313e-05,6.0313e-05
6,1141.38,1.17681,0.62741,0.97052,0.63204,0.52887,0.57546,0.33243,1.23031,0.6422,0.98471,4.55334e-05,4.55334e-05,4.55334e-05
7,1330.76,1.1778,0.62873,0.97207,0.63077,0.52783,0.57461,0.33218,1.23059,0.64261,0.98485,3.07537e-05,3.07537e-05,3.07537e-05
8,1520.02,1.17464,0.62667,0.96835,0.63112,0.52812,0.57526,0.33237,1.23076,0.6423,0.98475,1.5974e-05,1.5974e-05,1.5974e-05
